time,biomass,nutrient,temperature,light,nutrient_rate,light_level,heater_power,DO
1.0,1.0356534428768476,5.982173278561576,24.999992,200.0,1.0,200.0,0.0,0.03565344287684752
2.0,1.0726155382515465,6.963692230874226,24.999985,200.0,1.0,200.0,0.0,0.036962095374699015
3.0,1.1109255232558493,7.944537238372075,24.999977,200.0,1.0,200.0,0.0,0.03830998500430261
4.0,1.15062653125226,8.92468673437387,24.99997,200.0,1.0,200.0,0.0,0.03970100799641079
5.0,1.1917647383011802,9.90411763084941,24.999962,200.0,1.0,200.0,0.0,0.04113820704892013
6.0,1.2343889270968855,10.882805536451556,24.999954,200.0,1.0,200.0,0.0,0.04262418879570538
7.0,1.278550260292101,11.860724869853948,24.999947,200.0,1.0,200.0,0.0,0.044161333195215466
8.0,1.3243021675266597,12.837848916236668,24.999939,200.0,1.0,200.0,0.0,0.04575190723455873
9.0,1.371700298312426,13.814149850843785,24.999931,200.0,1.0,200.0,0.0,0.04739813078576633
10.0,1.4208025152973642,14.789598742351316,24.999924,200.0,1.0,200.0,0.0,0.04910221698493818
11.0,1.4716689136276728,15.764165543186161,24.999916,200.0,1.0,200.0,0.0,0.0508663983303087
12.0,1.524361858055144,16.737819070972424,24.999908,200.0,1.0,200.0,0.0,0.05269294442747101
13.0,1.5789460327290883,17.710526983635454,24.9999,200.0,1.0,200.0,0.0,0.05458417467394449
14.0,1.6354885005168862,18.682255749741554,24.999893,200.0,1.0,200.0,0.0,0.056542467787797826
15.0,1.69405876983915,19.65297061508042,24.999886,200.0,1.0,200.0,0.0,0.05857026932226393
16.0,1.7547288677120088,20.62263556614399,24.999878,200.0,1.0,200.0,0.0,0.06067009787285877
17.0,1.8175734181385304,21.59121329093073,24.99987,200.0,1.0,200.0,0.0,0.0628445504265217
18.0,1.8826697252847044,22.558665137357643,24.999863,200.0,1.0,200.0,0.0,0.06509630714617406
19.0,1.950097861071357,23.52495106946432,24.999855,200.0,1.0,200.0,0.0,0.06742813578665256
20.0,2.019940756947166,24.490029621526414,24.999847,200.0,1.0,200.0,0.0,0.06984289587580877
21.0,2.092284299701147,25.453857850149422,24.99984,200.0,1.0,200.0,0.0,0.07234354275398105
22.0,2.1672174312392167,26.41639128438039,24.999832,200.0,1.0,200.0,0.0,0.07493313153807
23.0,2.2448322522974453,27.377583873851275,24.999825,200.0,1.0,200.0,0.0,0.07761482105822877
24.0,2.325224130100049,28.337387934949973,24.999817,200.0,1.0,200.0,0.0,0.08039187780260375
25.0,2.40849180999689,29.295754095001552,24.99981,200.0,1.0,200.0,0.0,0.08326767989684104
26.0,2.494737531135761,30.252631234432116,24.999802,200.0,1.0,200.0,0.0,0.08624572113887068
27.0,2.5840671462408134,31.20796642687959,24.999794,200.0,1.0,200.0,0.0,0.08932961510505227
28.0,2.676590245581375,32.16170487720931,24.999786,200.0,1.0,200.0,0.0,0.0925230993405615
29.0,2.7724202852259086,33.11378985738704,24.999779,200.0,1.0,200.0,0.0,0.09583003964453392
30.0,2.871674719684653,34.06416264015767,24.999771,200.0,1.0,200.0,0.0,0.09925443445874421
31.0,2.9744751390519304,35.01276243047403,24.999763,200.0,1.0,200.0,0.0,0.10280041936727755
32.0,3.080947410765595,35.95952629461719,24.999756,200.0,1.0,200.0,0.0,0.1064722717136647
33.0,3.19122182610678,36.9043890869466,24.999748,200.0,1.0,200.0,0.0,0.11027441534118484
34.0,3.3054332515682034,37.84728337421589,24.99974,200.0,1.0,200.0,0.0,0.11421142546142354
35.0,3.4237212852239254,38.78813935738803,24.999733,200.0,1.0,200.0,0.0,0.11828803365572214
36.0,3.546230418237659,39.726884790881165,24.999725,200.0,1.0,200.0,0.0,0.12250913301373376
37.0,3.673110201650663,40.663444899174664,24.999718,200.0,1.0,200.0,0.0,0.1268797834130038
38.0,3.8045154185938395,41.597742290703074,24.99971,200.0,1.0,200.0,0.0,0.13140521694317614
39.0,3.9406062620720443,42.529696868963974,24.999702,200.0,1.0,200.0,0.0,0.13609084347820508
40.0,4.081548518471744,43.459225740764126,24.999695,200.0,1.0,200.0,0.0,0.14094225639969973
41.0,4.227513756946056,44.38624312152697,24.999687,200.0,1.0,200.0,0.0,0.14596523847431192
42.0,4.378679524833897,45.31066023758304,24.99968,200.0,1.0,200.0,0.0,0.1511657678878414
